frame_idx,bounding_box_height,avg_contour_area,num_contours,centroid_y,curvature_score,smoke_density,mask_entropy_bits,optical_flow_x,optical_flow_y,flow_mag_mean,flow_mag_std,flow_ang_std
0,404.0,29547.5,1,180.4950729052091,120.33424377441406,0.05657664609053498,0.3137028466108012,0.0,0.0,0.0,0.0,0.0
5,404.0,14209.25,2,182.31713254279146,114.44219207763672,0.05971965020576132,0.32633102852350626,-0.8440438508987427,-19.201642990112305,19.801982879638672,5.385982513427734,0.5570084452629089
10,404.0,30644.0,1,195.00927859722404,191.51260375976562,0.06167695473251029,0.33406614489433617,-0.8685967326164246,-18.953275680541992,19.391422271728516,5.76445198059082,0.31142517924308777
15,404.0,31563.5,1,208.40688875863998,162.63807678222656,0.06102623456790123,0.33150528849475824,-1.377490520477295,-18.244094848632812,18.818920135498047,5.5778703689575195,0.2589282691478729
20,404.0,13150.25,2,205.81553385690353,200.4882354736328,0.06164866255144033,0.33395502356338097,-1.5856800079345703,-18.105798721313477,18.673479080200195,5.594403266906738,0.25443214178085327
25,404.0,9313.5,3,273.5504176533347,122.49749755859375,0.06426954732510289,0.3441652798305046,-1.3717042207717896,-17.57831573486328,17.893238067626953,5.309489727020264,0.19512811303138733
30,404.0,14210.0,2,276.56870623268003,209.03277587890625,0.06479681069958848,0.34619923914831985,-1.6431915760040283,-17.05833625793457,17.551239013671875,5.489638328552246,0.32143017649650574
35,404.0,7360.625,4,264.41775092059294,95.07946014404297,0.06490740740740741,0.3466250330799728,-1.9646953344345093,-17.407014846801758,18.016576766967773,5.496525764465332,0.32585540413856506
40,404.0,11101.0,3,256.53266377417106,96.21145629882812,0.06646604938271605,0.3525950467923502,-1.757869005203247,-17.570541381835938,18.057334899902344,5.1638312339782715,0.35952726006507874
45,404.0,8766.125,4,242.94619472051718,95.20797729492188,0.07161265432098765,0.371913146039699,-1.6211283206939697,-17.743515014648438,18.16114044189453,5.58462381362915,0.255485475063324
50,404.0,6003.08349609375,6,261.64043606506476,69.3351821899414,0.07356481481481482,0.37908818483535844,-1.970827579498291,-17.048398971557617,17.661951065063477,5.204057693481445,0.3120504319667816
55,395.0,6181.58349609375,6,249.69025803890432,65.6075439453125,0.07500771604938272,0.38433951025795915,-1.8583717346191406,-16.816757202148438,17.359676361083984,4.963080883026123,0.24375604093074799
60,404.0,8172.89990234375,5,242.27053646840858,65.4599380493164,0.07781121399176955,0.39441951654851737,-1.8369598388671875,-16.97376251220703,17.515419006347656,5.872084140777588,0.2941053807735443
65,404.0,8766.2001953125,5,233.10089473382894,46.5863037109375,0.08070730452674897,0.404666531459312,-2.0361874103546143,-16.52109146118164,17.073503494262695,5.690209865570068,0.40468719601631165
70,404.0,8967.0,5,224.05687367798927,33.32432174682617,0.08179526748971193,0.40847355155015286,-2.3752453327178955,-17.043657302856445,17.528356552124023,5.764847755432129,0.26661649346351624
75,404.0,22353.25,2,211.88092068148484,64.54054260253906,0.07947530864197531,0.40032770408811347,-2.931225538253784,-17.403701782226562,17.9606876373291,5.798722743988037,0.28187423944473267
80,369.0,45380.5,1,199.3763951476956,70.52412414550781,0.08098251028806584,0.4056317001361692,-2.9707062244415283,-17.727705001831055,18.23788833618164,5.904867172241211,0.22080044448375702
85,388.0,21524.0,2,201.2065571074487,114.89956665039062,0.08289351851851852,0.412293511453108,-3.013127565383911,-17.971071243286133,18.451566696166992,5.93201208114624,0.1971229910850525
90,404.0,20748.75,2,184.86938274297853,142.848388671875,0.08559927983539095,0.4216076457001747,-2.9038476943969727,-18.535274505615234,19.02235984802246,6.178338050842285,0.20434246957302094
95,404.0,14520.1669921875,3,178.70785439492977,98.0540542602539,0.08699074074074074,0.4263447280761326,-3.0862784385681152,-18.84332275390625,19.398361206054688,5.87741756439209,0.200462207198143
100,404.0,44814.5,1,174.60762327669244,175.17323303222656,0.08732767489711935,0.42748647635408793,-2.8353538513183594,-19.333219528198242,19.866994857788086,6.415576934814453,0.19493523240089417
105,404.0,14211.5,3,166.343727755033,96.57047271728516,0.0870627572016461,0.426588938907105,-2.7851450443267822,-19.998798370361328,20.537805557250977,7.0507025718688965,0.1984311193227768
110,404.0,21862.0,2,167.8984646264232,98.16279602050781,0.08445216049382716,0.41767558350442324,-1.522413730621338,-21.304872512817383,21.86916732788086,7.0123491287231445,0.23350851237773895
115,404.0,13331.0,3,170.61155430950257,91.08409881591797,0.0809593621399177,0.4055505743392279,-1.8209327459335327,-21.231731414794922,21.822832107543945,7.050691604614258,0.3149040639400482
120,404.0,13689.5,3,166.2181739478434,56.804595947265625,0.07965277777777778,0.4009545479947827,-1.6609522104263306,-21.323209762573242,21.799333572387695,7.114798069000244,0.21742117404937744
125,404.0,40865.0,1,161.22184020555488,162.9232177734375,0.08162551440329219,0.4078810525038188,-2.970627784729004,-21.50191879272461,22.351375579833984,6.916869163513184,0.3914949595928192
130,404.0,10493.875,4,157.5708104978143,56.863677978515625,0.080815329218107,0.40504555804786246,-2.9374992847442627,-22.21268653869629,23.077983856201172,7.299309730529785,0.41891705989837646
135,404.0,21892.25,2,146.34807393875104,72.97999572753906,0.08264660493827161,0.4114366958883672,-2.1048851013183594,-23.527435302734375,24.14113998413086,8.394762992858887,0.4665256142616272
140,404.0,44008.0,1,148.35185269344967,138.59014892578125,0.08404835390946502,0.416285599767317,-2.4819512367248535,-22.57771110534668,23.432695388793945,8.348896026611328,0.49404945969581604
145,404.0,20704.75,2,147.30423267626074,116.50611114501953,0.08171296296296296,0.4081863484779015,-2.050821304321289,-23.13250160217285,23.721742630004883,8.624176979064941,0.427896648645401
150,404.0,13288.3330078125,3,146.58952310104104,114.1695556640625,0.08137088477366256,0.4069912637673388,-1.9122240543365479,-22.705251693725586,23.402528762817383,9.131458282470703,0.3330075442790985
155,404.0,9288.25,4,165.83653251062125,138.88751220703125,0.07932355967078189,0.3997912145818028,-2.2209620475769043,-21.129146575927734,22.418804168701172,8.269330978393555,0.5069651007652283
160,404.0,9931.125,4,169.9965013500925,101.32872009277344,0.0800951646090535,0.40251441987033637,-3.0483009815216064,-21.416887283325195,22.515888214111328,8.94847297668457,0.5316908359527588
165,404.0,10081.75,4,176.62198049386447,85.51238250732422,0.0826954732510288,0.41160636595107436,-4.2670369148254395,-21.095335006713867,22.20009994506836,8.079952239990234,0.47793254256248474
170,404.0,9289.875,4,188.37072904589783,129.9501190185547,0.08204218106995885,0.4093343805047582,-4.279836177825928,-20.838083267211914,21.922922134399414,7.766606330871582,0.5047962665557861
175,404.0,18283.25,2,200.75147125396106,170.6363067626953,0.07949845679012346,0.4004095015320958,-4.251768112182617,-20.769390106201172,21.9289493560791,7.357194900512695,0.5832089781761169
180,404.0,17153.5,2,204.57776998324172,214.32867431640625,0.07743055555555556,0.3930602444652636,-4.258042335510254,-20.28956413269043,21.482654571533203,9.466408729553223,0.47651243209838867
185,404.0,10078.3330078125,3,227.95120306107654,176.25303649902344,0.06955761316872427,0.3642705772224196,-4.598971366882324,-19.70720672607422,20.803239822387695,6.111764907836914,0.46324050426483154
190,404.0,7488.375,4,207.63207002811436,87.76837158203125,0.0652417695473251,0.3479105507396326,-4.8443756103515625,-20.14889907836914,21.533119201660156,6.709097385406494,0.5128480195999146
195,404.0,4604.91650390625,6,209.79348194551787,79.75653839111328,0.061417181069958846,0.3330450984293794,-4.119125843048096,-20.96078872680664,21.948223114013672,7.6418232917785645,0.4371124804019928
200,404.0,6339.25,4,195.76967841579787,106.94403839111328,0.058531378600823046,0.32158724184185966,-4.1200079917907715,-20.739730834960938,21.703109741210938,8.280089378356934,0.5056560635566711
205,404.0,5025.7998046875,5,179.71943773275783,75.18302917480469,0.055594135802469136,0.30970110401738454,-4.710865497589111,-20.814939498901367,21.75876808166504,7.510267734527588,0.422313392162323
210,404.0,4752.16650390625,6,166.10295036235178,86.06438446044922,0.06342849794238684,0.34090704177210035,-3.8211023807525635,-19.07847785949707,19.867778778076172,7.5675368309021,0.4388565719127655
215,404.0,11737.8330078125,3,179.82765077291532,115.29776000976562,0.07031378600823045,0.3670935492352331,-3.9423670768737793,-18.831653594970703,19.688032150268555,7.727752685546875,0.4762438237667084
220,404.0,7937.60009765625,5,168.87460151589306,98.27552032470703,0.08150720164609053,0.4074677707246828,-4.716701984405518,-19.506610870361328,20.389028549194336,7.215141773223877,0.3594173789024353
225,404.0,6413.08349609375,6,161.25354908367396,118.9732666015625,0.08555298353909466,0.42144942427852716,-4.7161455154418945,-18.921846389770508,19.77657699584961,6.726644992828369,0.44221118092536926
230,404.0,33657.0,2,212.41268930673286,103.7769775390625,0.09597479423868313,0.45610455119431303,-5.030099391937256,-17.676088333129883,18.84821319580078,6.595699787139893,0.4950147271156311
235,404.0,16019.0,3,180.8373569808092,162.9165802001953,0.09760802469135803,0.46136702421333275,-4.421598434448242,-16.652952194213867,17.66413688659668,6.429502487182617,0.3843454420566559
240,404.0,7367.66650390625,6,181.21555004325623,94.1944808959961,0.09272376543209876,0.4454966329204161,-4.680779457092285,-17.387453079223633,18.518260955810547,6.03719425201416,0.3082444965839386
245,404.0,8220.3330078125,6,191.56438720675212,65.59548950195312,0.08800668724279835,0.42978116803719074,-5.478414535522461,-16.72279167175293,18.161083221435547,6.776223659515381,0.5133084654808044
250,404.0,18331.666015625,3,188.57960371682924,61.75437545776367,0.08632458847736625,0.42408130258508886,-5.697246551513672,-17.880474090576172,19.26241111755371,7.7044501304626465,0.4098597764968872
255,404.0,16339.1669921875,3,192.231574756811,113.99994659423828,0.08684413580246914,0.4258472934265165,-5.3385138511657715,-18.26738166809082,19.518272399902344,7.648326396942139,0.348402202129364
260,404.0,12458.125,4,192.39938241982932,111.568359375,0.08733024691358025,0.4274951840775273,-5.715082168579102,-17.9112491607666,19.350177764892578,7.684874057769775,0.47266802191734314
265,404.0,11418.25,4,166.76265167778521,109.35769653320312,0.08492283950617284,0.4192919165439749,-8.127039909362793,-23.569168090820312,25.698875427246094,10.816033363342285,0.4018077254295349
270,404.0,9435.0,4,161.55329679126757,168.5926513671875,0.08246141975308642,0.4107933230578813,-8.515859603881836,-23.00722885131836,25.37599754333496,11.157106399536133,0.3624267280101776
275,404.0,4547.111328125,9,152.05294922707589,64.07939910888672,0.0786599794238683,0.39743985512845187,-7.499598979949951,-23.015594482421875,25.130578994750977,9.036813735961914,0.37657487392425537
280,404.0,3520.0,10,140.74289652579807,75.41780090332031,0.07456532921810699,0.38273411580344985,-5.407225131988525,-21.587018966674805,23.255300521850586,8.7269926071167,0.35553890466690063
285,404.0,2484.071533203125,14,148.8522533441063,62.366634368896484,0.07431069958847737,0.3818082267488264,-3.471545457839966,-20.649465560913086,21.846729278564453,8.940340042114258,0.39223960041999817
290,404.0,2614.681884765625,11,160.46532771969407,78.56964874267578,0.07040123456790123,0.3674191989060237,-3.9646050930023193,-20.75395965576172,21.816911697387695,8.969771385192871,0.35105085372924805
295,404.0,2442.416748046875,12,153.62136308766435,58.76329040527344,0.06553497942386831,0.3490356738924716,-4.256496906280518,-22.44589614868164,23.647382736206055,8.326936721801758,0.42686131596565247
300,404.0,2102.884521484375,13,144.33266063988248,68.02928161621094,0.06790637860082305,0.3580616427137243,-3.459810733795166,-23.291379928588867,24.034767150878906,8.225360870361328,0.2595158815383911
305,404.0,3941.071533203125,7,135.81488168160422,104.64167785644531,0.06665637860082305,0.3533201634761727,-3.537322998046875,-24.702512741088867,25.369590759277344,8.552295684814453,0.2014359086751938
310,404.0,2416.699951171875,10,131.31450971028335,102.5480728149414,0.06550925925925925,0.3489370600396638,-3.0579206943511963,-23.455366134643555,24.143789291381836,9.085025787353516,0.4769011437892914
315,404.0,1904.4166259765625,12,132.46107170609923,88.23592376708984,0.061962448559670785,0.33518634498486194,-4.317867755889893,-25.875160217285156,26.582639694213867,11.230661392211914,0.2281879484653473
320,404.0,1901.6817626953125,11,136.8437248855247,75.68016815185547,0.05449588477366255,0.30519653323293144,-3.9511773586273193,-25.811016082763672,26.511032104492188,10.248189926147461,0.2708469331264496
325,404.0,2056.4443359375,9,196.41733188481098,95.58941650390625,0.0498070987654321,0.28557696087012746,-2.4944939613342285,-24.15750503540039,24.688899993896484,10.09804630279541,0.2864970266819
330,404.0,2002.75,8,225.0465433361222,109.00874328613281,0.04428755144032922,0.261616351071858,-2.1310038566589355,-24.271764755249023,24.62032699584961,11.474199295043945,0.2828865051269531
335,404.0,3182.60009765625,5,225.98556146914686,150.57386779785156,0.04117283950617284,0.24764401289162963,-1.4034757614135742,-23.91412925720215,24.62859344482422,11.737682342529297,0.4796733558177948
340,404.0,2593.333251953125,6,257.7860701050969,107.18283081054688,0.038161008230452674,0.23379599654097005,-1.1243549585342407,-26.58405113220215,27.219295501708984,12.849512100219727,0.5825091600418091
345,404.0,8569.5,2,236.46339360086236,172.97210693359375,0.03932098765432099,0.23917023455829392,0.15787476301193237,-26.47136878967285,27.046367645263672,13.416924476623535,0.43459534645080566
350,404.0,20095.0,1,230.6562245998175,269.93865966796875,0.045300925925925925,0.2660898493085414,-0.14234620332717896,-22.991409301757812,24.105133056640625,10.630372047424316,0.6419885754585266
