window_id,bounding_box_height_mean,bounding_box_height_std,bounding_box_height_min,bounding_box_height_max,avg_contour_area_mean,avg_contour_area_std,avg_contour_area_min,avg_contour_area_max,num_contours_mean,num_contours_std,num_contours_min,num_contours_max,centroid_y_mean,centroid_y_std,centroid_y_min,centroid_y_max,curvature_score_mean,curvature_score_std,curvature_score_min,curvature_score_max,smoke_density_mean,smoke_density_std,smoke_density_min,smoke_density_max,mask_entropy_bits_mean,mask_entropy_bits_std,mask_entropy_bits_min,mask_entropy_bits_max,optical_flow_x_mean,optical_flow_x_std,optical_flow_x_min,optical_flow_x_max,optical_flow_y_mean,optical_flow_y_std,optical_flow_y_min,optical_flow_y_max,flow_mag_mean_mean,flow_mag_mean_std,flow_mag_mean_min,flow_mag_mean_max,flow_mag_std_mean,flow_mag_std_std,flow_mag_std_min,flow_mag_std_max,flow_ang_std_mean,flow_ang_std_std,flow_ang_std_min,flow_ang_std_max
0,404.0,0.0,404.0,404.0,17899.958333333332,9782.610169006532,7360.625,31563.5,2.111111111111111,1.0540925533894598,1,4,227.01260502683851,40.11455695943957,180.4950729052091,276.56870623268003,145.80406019422742,45.509298742094586,95.07946014404295,209.03277587890625,0.06234310699588472,0.003084252068003009,0.0565766460905349,0.066466049382716,0.3365716589931033,0.012118262294221471,0.3137028466108012,0.3525950467923502,-1.268141249815623,0.6058953791395683,-1.9646953344345093,0.0,-16.01322449578179,6.046678615623615,-19.201642990112305,0.0,16.467132568359375,6.218687623231969,0.0,19.801982879638672,4.864688131544325,1.8325099970582788,0.0,5.76445198059082,0.2870816654629177,0.14752737198788288,0.0,0.5570084452629089
1,398.5,12.328828005937954,369.0,404.0,14323.830261230469,13590.039630795103,6003.08349609375,45380.5,4.25,1.8322507626258087,1,6,233.1203136917367,20.494407344589867,199.3763951476956,261.64043606506476,63.82324171066284,18.10271535059428,33.32432174682617,95.20797729492188,0.07761959876543206,0.0038004937908598154,0.0716126543209876,0.0817952674897119,0.39360748061441014,0.013633229932495603,0.371913146039699,0.4084735515501528,-2.2000814974308014,0.5102303065342447,-2.9707062244415283,-1.6211283206939695,-17.159823656082153,0.43241243624685766,-17.743515014648438,-16.52109146118164,17.68732786178589,0.40389976438364755,17.073503494262695,18.23788833618164,5.597811758518219,0.3389925189287079,4.963080883026123,5.904867172241211,0.2849219627678394,0.05629144563588385,0.220800444483757,0.4046871960163116
2,402.22222222222223,5.333333333333327,388.0,404.0,22840.712999131945,11898.867078503084,13331.0,44814.5,2.2222222222222223,0.8333333333333334,1,3,174.63168648515628,12.290489548857533,161.22184020555488,201.2065571074487,115.16893598768446,38.01598041039886,56.804595947265625,175.17323303222656,0.08406264288980335,0.0028967991550619874,0.0796527777777777,0.0873276748971193,0.41626478431476227,0.009999449531316207,0.4009545479947827,0.4274864763540879,-2.5109643406338162,0.6427579415821384,-3.0862784385681152,-1.522413730621338,-20.00482432047526,1.381609649504755,-21.50191879272461,-17.971071243286133,20.568866305881077,1.444511696698624,18.451566696166992,22.351375579833984,6.616528352101644,0.5147081549121384,5.87741756439209,7.114798069000244,0.2391803032822079,0.0685010737087798,0.1949352324008941,0.3914949595928192
3,404.0,0.0,404.0,404.0,17461.041625976562,11824.908763435884,9288.25,44008.0,3.0,1.1952286093343936,1,4,157.32743840773688,12.083775923014061,146.34807393875104,176.62198049386447,103.10476303100586,29.76102257005943,56.863677978515625,138.88751220703125,0.08158854166666664,0.0015314093807217587,0.0793235596707818,0.084048353909465,0.407732183294,0.005347240415045471,0.3997912145818028,0.416285599767317,-2.627960115671158,0.7805688861414868,-4.2670369148254395,-1.912224054336548,-22.224619388580322,0.9262195079448872,-23.527435302734375,-21.095335006713867,23.113860368728638,0.6852245219586576,22.20009994506836,24.14113998413086,8.3870450258255,0.5629551575373335,7.299309730529785,9.131458282470703,0.4571231007575989,0.06284689631037071,0.3330075442790985,0.5316908359527588
4,404.0,0.0,404.0,404.0,9782.912414550781,5257.336838663573,4604.91650390625,18283.25,3.75,1.3887301496588271,2,6,201.82073018329564,14.613435713460147,179.71943773275785,227.95120306107657,130.10251426696777,51.74979650588709,75.18302917480469,214.32867431640625,0.06866415895061724,0.010083449209446925,0.0555941358024691,0.0820421810699588,0.3599148373440992,0.037902523313738216,0.3097011040173845,0.4093343805047582,-4.397874116897583,0.2796708071008789,-4.8443756103515625,-4.119125843048096,-20.533575296401978,0.4380008511429504,-20.96078872680664,-19.70720672607422,21.635123252868652,0.38037298830646116,20.803239822387695,21.948223114013672,7.605406582355499,1.0036243940627687,6.111764907836914,9.466408729553224,0.4882110171020031,0.05060340964455414,0.422313392162323,0.5832089781761169
5,404.0,0.0,404.0,404.0,12715.149848090277,9060.394568424892,4752.16650390625,33657.0,4.444444444444445,1.6666666666666667,2,6,181.18537099880152,15.47506653763488,161.25354908367396,212.4126893067329,100.76098166571722,30.49351056849652,61.75437545776367,162.9165802001953,0.08460448102423407,0.011412557484451654,0.0634284979423868,0.097608024691358,0.41708316277343166,0.040178586645916115,0.3409070417721003,0.4613670242133327,-4.722717258665297,0.6254634265737895,-5.697246551513672,-3.821102380752563,-18.073149787055122,1.0527641652032476,-19.506610870361328,-16.652952194213867,19.130613538953995,0.895659273508168,17.66413688659668,20.389028549194336,6.97557184431288,0.6051453518209472,6.03719425201416,7.727752685546875,0.4252779848045773,0.0667353519828481,0.3082444965839386,0.5133084654808044
6,404.0,0.0,404.0,404.0,7852.050842285156,5269.929374818449,2484.071533203125,16339.1669921875,7.375,4.138236339311712,3,14,164.38254155779592,19.05468691002987,140.74289652579807,192.39938241982932,97.99401712417603,35.57739301341716,62.36663436889648,168.5926513671875,0.07993698559670778,0.006399460053405834,0.0704012345679012,0.0873302469135802,0.4016036392115815,0.02264408669115884,0.3674191989060237,0.4274951840775273,-6.004933774471283,1.8711528007086269,-8.515859603881836,-3.471545457839966,-21.095133304595947,2.1432750939639353,-23.569168090820312,-17.9112491607666,22.74910545349121,2.54119247140786,19.350177764892575,25.698875427246097,9.12253224849701,1.2799503964105694,7.648326396942139,11.157106399536133,0.3825886137783527,0.04125618582989105,0.348402202129364,0.4726680219173431
7,404.0,0.0,404.0,404.0,2438.9961751302085,692.2604050981687,1901.6817626953125,3941.071533203125,9.666666666666666,2.6457513110645903,5,13,164.64862760012647,39.85194006942721,131.31450971028335,225.9855614691469,94.78560468885634,27.14336049470132,58.76329040527344,150.57386779785156,0.05748142432556009,0.010308381656247862,0.0411728395061728,0.067906378600823,0.31606386035260453,0.042394957899218176,0.2476440128916296,0.3580616427137243,-3.1788411140441895,0.9997198349449924,-4.317867755889893,-1.4034757614135742,-24.21385892232259,1.1290456939612779,-25.875160217285156,-22.44589614868164,24.914113574557835,1.0447127461153822,23.647382736206055,26.582639694213867,9.88648870256212,1.3939193529290377,8.225360870361328,11.737682342529297,0.32364511324299705,0.10751419588018592,0.2014359086751938,0.4796733558177948
8,404.0,0.0,404.0,404.0,21749.187530517578,13831.78594531334,2593.333251953125,38903.0,2.0,1.7728105208558367,1,6,225.0376073196083,20.05144040138739,196.1017137010828,257.7860701050969,137.24991035461426,73.40722330237631,72.09950256347656,269.93865966796875,0.05165091306584356,0.010504935925331827,0.0381610082304526,0.0653677983539094,0.29193569296865785,0.04423432976693355,0.23379599654097,0.3483944050263288,-0.5143609531223774,0.44977598116662837,-1.1578868627548218,0.1578747630119323,-24.84610414505005,1.683369278177787,-26.58405113220215,-21.962818145751953,25.573465824127197,1.571491313262525,22.78802490234375,27.219295501708984,10.948034644126892,2.4656123589571943,8.154031753540039,13.887063026428224,0.49284165538847446,0.1493658154288787,0.2497984319925308,0.6836680173873901
9,404.0,0.0,404.0,404.0,16546.104125976562,10815.084090249322,7692.5,33533.5,2.625,1.1877349391654208,1,4,190.83064411186677,6.365951991612416,184.39987552592865,199.92567514738303,107.04766750335693,40.94103166589261,72.01531982421875,200.672607421875,0.07028742283950613,0.0021885235881003826,0.0672608024691358,0.0741718106995884,0.3669492688127384,0.008130227662318268,0.3556173398032932,0.3813026234884095,0.04043808486312628,0.7437890074347734,-1.089456558227539,1.3383722305297852,-24.700859546661377,1.659938266257599,-27.00275421142578,-22.236576080322266,25.283905744552612,1.6013299256746991,22.940431594848633,27.66462516784668,7.066201865673065,0.8094493540749729,6.150968551635742,8.479586601257324,0.28503295592963696,0.03718545817958654,0.2479128986597061,0.3631637990474701
